session_time,studio_id,session_id,duration_frames,face_pct,facing_pct,head_down_pct,not_facing_pct,off_frame_pct
13.17 07/04/2026 - 13.18 07/04/2026,S01,SESSION_001,23,100.0,73.91,13.04,13.04,0.0
13.19 07/04/2026 - 13.19 07/04/2026,S01,SESSION_001,7,100.0,85.71,0.0,14.29,0.0
16.41 07/04/2026 - 16.44 07/04/2026,S01,SESSION_001,95,100.0,74.74,23.16,2.11,0.0
17.43 07/04/2026 - 17.44 07/04/2026,S01,SESSION_001,79,86.08,59.49,15.19,6.33,5.06
17.46 07/04/2026 - 17.49 07/04/2026,S01,SESSION_001,62,33.87,33.87,0.0,0.0,48.39
17.49 07/04/2026 - 17.51 07/04/2026,S01,SESSION_001,100,74.0,60.0,7.0,7.0,21.0
17.54 07/04/2026 - 17.59 07/04/2026,S01,SESSION_001,319,26.33,25.39,0.63,0.0,65.52
17.59 07/04/2026 - 18.01 07/04/2026,S01,SESSION_001,73,43.84,41.1,0.0,2.74,36.99
12.32 08/04/2026 - 12.34 08/04/2026,S01,SESSION_001,27,100.0,62.96,11.11,25.93,0.0
12.37 08/04/2026 - 12.39 08/04/2026,S01,SESSION_001,95,97.89,73.68,0.0,0.0,6.32
12.42 08/04/2026 - 12.42 08/04/2026,S01,SESSION_001,17,100.0,58.82,0.0,0.0,0.0
12.59 08/04/2026 - 12.59 08/04/2026,S01,SESSION_001,10,100.0,70.0,0.0,20.0,0.0
12.59 08/04/2026 - 13.00 08/04/2026,S01,SESSION_001,49,97.96,2.04,93.88,0.0,2.04
13.01 08/04/2026 - 13.01 08/04/2026,S01,SESSION_001,8,100.0,12.5,87.5,0.0,0.0
13.01 08/04/2026 - 13.01 08/04/2026,S01,SESSION_001,16,100.0,6.25,93.75,0.0,0.0
13.02 08/04/2026 - 13.03 08/04/2026,S01,SESSION_001,69,100.0,49.28,0.0,50.72,0.0
13.03 08/04/2026 - 13.04 08/04/2026,S01,SESSION_001,7,100.0,14.29,85.71,0.0,0.0
13.04 08/04/2026 - 13.04 08/04/2026,S01,SESSION_001,39,100.0,30.77,53.85,15.38,0.0
